"","state","value"
"AL","AL","Severe Storm"
"AK","AK","Flood"
"AZ","AZ",NA
"AR","AR","Severe Storm"
"CA","CA","Fire"
"CO","CO","Fire"
"CT","CT","Severe Storm"
"DE","DE",NA
"FL","FL","Fire"
"GA","GA","Severe Storm"
"HI","HI",NA
"ID","ID","Flood"
"IL","IL","Severe Storm"
"IN","IN","Severe Storm"
"IA","IA","Severe Storm"
"KS","KS","Severe Storm"
"KY","KY","Severe Storm"
"LA","LA","Severe Storm"
"ME","ME","Snowstorm"
"MD","MD",NA
"MA","MA","Severe Storm"
"MI","MI","Severe Storm"
"MN","MN","Flood"
"MS","MS",NA
"MO","MO","Severe Storm"
"MT","MT",NA
"NE","NE","Severe Storm"
"NV","NV",NA
"NH","NH","Snowstorm"
"NJ","NJ","Severe Storm"
"NM","NM",NA
"NY","NY","Severe Storm"
"NC","NC",NA
"ND","ND","Severe Storm"
"OH","OH","Severe Storm"
"OK","OK","Severe Storm"
"OR","OR",NA
"PA","PA","Severe Storm"
"RI","RI","Severe Storm"
"SC","SC",NA
"SD","SD","Severe Storm"
"TN","TN","Severe Storm"
"TX","TX","Fire"
"UT","UT","Flood"
"VT","VT","Severe Storm"
"VA","VA","Severe Storm"
"WA","WA",NA
"WV","WV","Severe Storm"
"WI","WI","Severe Storm"
"WY","WY",NA
